Change Component Footprint: Designator=P1 Old Footprint=MOLEX MICRO FIT 16POS New Footprint=MOLEX MICRO FIT 18POS VERT
Change Component Footprint: Designator=J1 Old Footprint=PIN1 New Footprint=PAD
Change Component Footprint: Designator=J2 Old Footprint=PIN1 New Footprint=PAD
Change Component Footprint: Designator=J3 Old Footprint=PIN1 New Footprint=PAD
Change Component Footprint: Designator=J4 Old Footprint=PIN1 New Footprint=PAD
Change Component Footprint: Designator=J5 Old Footprint=PIN1 New Footprint=PAD
Change Component Footprint: Designator=J6 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J7 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J8 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J9 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J10 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J11 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J12 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J13 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J14 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J15 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J16 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J17 Old Footprint=TEST PAD New Footprint=PAD
Change Component Footprint: Designator=J18 Old Footprint=TEST PAD New Footprint=PAD
