Change Component Footprint: Designator=J1 Old Footprint=PAD New Footprint=PIN1
Change Component Footprint: Designator=J2 Old Footprint=PAD New Footprint=PIN1
Change Component Footprint: Designator=J3 Old Footprint=PAD New Footprint=PIN1
Change Component Footprint: Designator=J4 Old Footprint=PAD New Footprint=PIN1
Change Component Footprint: Designator=J5 Old Footprint=PAD New Footprint=PIN1
Change Component Footprint: Designator=J6 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J7 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J8 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J9 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J10 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J11 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J12 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J13 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J14 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J15 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J16 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J17 Old Footprint=PAD New Footprint=TEST PAD
Change Component Footprint: Designator=J18 Old Footprint=PAD New Footprint=TEST PAD
